city,male,female
Rio Bom (PR),1742,1592
São Martinho (SC),1660,1549
Santo Expedito (SP),1403,1400
Mathias Lobato (MG),1674,1695
Perolândia (GO),1570,1380
Onça de Pitangui (MG),1558,1496
Lidianópolis (PR),1962,2011
Ibicaré (SC),1775,1598
Jaguaraçu (MG),1508,1481
Caranaíba (MG),1677,1611
Prata do Piauí (PI),1551,1534
Jeriquara (SP),1622,1538
Itatiba do Sul (RS),2178,1993
Mato Rico (PR),2029,1789
Fernando de Noronha (PE),1292,1338
Mormaço (RS),1396,1353
Porto Barreiro (PR),1915,1748
Comendador Gomes (MG),1591,1380
Morro do Pilar (MG),1709,1690
Mira Estrela (SP),1401,1418
Vale de São Domingos (MT),1643,1409
Inajá (PR),1528,1460
São Domingos (PB),1412,1443
Passagem (RN),1453,1441
Serra da Raiz (PB),1595,1609
Pedrinhas Paulista (SP),1463,1476
Cascalho Rico (MG),1525,1330
Recursolândia (TO),2008,1760
Bom Jesus (SC),1253,1273
Tenório (PB),1466,1347
Imigrante (RS),1495,1528
Marapoama (SP),1349,1284
Coronel Pacheco (MG),1516,1467
Taparuba (MG),1615,1521
São Domingos do Sul (RS),1469,1456
Colorado (RS),1727,1823
Magda (SP),1651,1549
Vera Mendes (PI),1491,1494
Fernando Pedroza (RN),1456,1397
Taquaruçu do Sul (RS),1517,1449
Tio Hugo (RS),1372,1351
São Gonçalo do Gurguéia (PI),1464,1361
Nova Belém (MG),1897,1835
Figueirão (MS),1553,1375
Araguaiana (MT),1637,1560
Urutaí (GO),1562,1512
Ouro Velho (PB),1470,1458
Vitória das Missões (RS),1794,1691
Westfália (RS),1406,1387
Santo Hipólito (MG),1621,1617
Alto Feliz (RS),1500,1417
Sítio d'Abadia (GO),1519,1306
São Sebastião da Vargem Alegre (MG),1459,1339
Riachinho (TO),2168,2023
Corumbataí do Sul (PR),2030,1971
São Miguel do Fidalgo (PI),1546,1429
Bento de Abreu (SP),1364,1310
Chapadão do Lageado (SC),1425,1337
Herveiras (RS),1543,1411
Albertina (MG),1488,1425
Novo Santo Antônio (PI),1672,1588
Cerro Negro (SC),1872,1707
Amorinópolis (GO),1830,1777
João Costa (PI),1571,1387
Ibituruna (MG),1448,1418
Maripá de Minas (MG),1389,1399
Presidente Kubitschek (MG),1493,1466
Aurilândia (GO),1838,1811
Farol (PR),1723,1749
Dom Viçoso (MG),1544,1450
Dilermando de Aguiar (RS),1577,1485
Glória d'Oeste (MT),1595,1540
Frei Martinho (PB),1468,1465
Fortuna de Minas (MG),1394,1311
Iomerê (SC),1393,1345
Erebango (RS),1490,1479
Cafeara (PR),1376,1319
Presidente Lucena (RS),1310,1174
Rio da Conceição (TO),885,828
Arroio do Padre (RS),1414,1316
Mampituba (RS),1551,1451
Cristianópolis (GO),1502,1429
Pedra do Anta (MG),1681,1684
Leoberto Leal (SC),1753,1611
Dona Francisca (RS),1678,1723
Arapuã (PR),1764,1797
Princesa (SC),1421,1335
São Pedro do Butiá (RS),1456,1417
Santa Mercedes (SP),1423,1408
Mato Grosso (PB),1347,1351
Damolândia (GO),1383,1364
Tamboril do Piauí (PI),1442,1310
Lagoa Bonita do Sul (RS),1403,1259
Nova Iguaçu de Goiás (GO),1455,1371
Vila Nova do Piauí (PI),1576,1500
Ângulo (PR),1456,1402
Rio dos Bois (TO),1361,1208
Castanheiras (RO),1829,1746
São Félix do Piauí (PI),1500,1569
Serra Grande (PB),1501,1473
Brejo Alegre (SP),1330,1243
Planalto Alegre (SC),1383,1271
Galinhos (RN),1115,1044
Pindoba (AL),1420,1446
Rancho Queimado (SC),1397,1350
Cruzmaltina (PR),1635,1527
Ipiranga de Goiás (GO),1451,1393
Morrinhos do Sul (RS),1617,1565
Floreal (SP),1496,1507
Morro Grande (SC),1513,1377
Sulina (PR),1713,1681
Rio Sono (TO),3379,2874
Sede Nova (RS),1531,1480
Lagoinha do Piauí (PI),1339,1317
Várzea (PB),1267,1236
Desterro do Melo (MG),1546,1469
Centenário (RS),1541,1423
Vista Gaúcha (RS),1395,1364
Garruchos (RS),1682,1550
Godoy Moreira (PR),1701,1635
Esperança do Sul (RS),1649,1622
Jaupaci (GO),1517,1480
Cristal do Sul (RS),1441,1384
Victor Graeff (RS),1512,1524
Camacho (MG),1665,1488
Arapuá (MG),1406,1369
Novo Itacolomi (PR),1485,1342
Sampaio (TO),1970,1894
Três Ranchos (GO),1424,1394
Olímpio Noronha (MG),1304,1229
Uirapuru (GO),1525,1407
São José do Mantimento (MG),1290,1300
Cumari (GO),1515,1449
Taquaral (SP),1373,1353
Conceição das Pedras (MG),1468,1281
São Francisco (SP),1400,1393
São Jorge (RS),1378,1395
Indiavaí (MT),1248,1148
Cândido Rodrigues (SP),1314,1353
Francisco Dantas (RN),1457,1416
Porto Estrela (MT),1903,1744
Quevedos (RS),1447,1263
São Bonifácio (SC),1551,1457
Sandolândia (TO),1741,1585
Ingaí (MG),1391,1238
Zacarias (SP),1173,1162
Santa Cruz de Goiás (GO),1645,1496
Tanque do Piauí (PI),1276,1343
Barra do Jacaré (PR),1385,1341
Arantina (MG),1415,1408
Gabriel Monteiro (SP),1375,1333
Novo Brasil (GO),1819,1699
Estrela do Norte (SP),1370,1288
Anahy (PR),1439,1435
Santa Fé do Araguaia (TO),3417,3181
Boa Vista do Sul (RS),1469,1307
Israelândia (GO),1462,1424
Capitão (RS),1353,1283
Novo Santo Antônio (MT),1104,900
Santa Maria do Tocantins (TO),1518,1375
Senador Salgado Filho (RS),1407,1407
Reserva do Cabaçal (MT),1322,1250
Toropi (RS),1561,1391
Camargo (RS),1291,1301
Fagundes Varela (RS),1300,1279
Santa Rita do Tocantins (TO),1107,1019
São João da Mata (MG),1400,1331
Pinhal de São Bento (PR),1369,1256
Salvador das Missões (RS),1377,1292
Peritiba (SC),1484,1504
Lagoa de Velhos (RN),1367,1301
São Valério do Sul (RS),1375,1271
Coxilha (RS),1387,1438
Porto Alegre do Piauí (PI),1324,1235
Vista Alegre (RS),1400,1430
Entre Rios do Sul (RS),1556,1524
Cachoeira Dourada (MG),1253,1251
Piau (MG),1490,1351
Derrubadas (RS),1604,1586
Jacuizinho (RS),1283,1224
Carrapateira (PB),1247,1131
Borebi (SP),1143,1150
Maratá (RS),1272,1255
Belmonte (SC),1358,1277
Galvão (SC),1720,1752
Flórida (PR),1289,1254
Celso Ramos (SC),1395,1376
Marmelópolis (MG),1491,1477
Itaúna do Sul (PR),1821,1761
Santa Cruz do Xingu (MT),1046,854
Santana do Seridó (RN),1267,1257
Lastro (PB),1438,1403
Primavera de Rondônia (RO),1856,1668
Córrego Novo (MG),1555,1572
São Bento do Norte (RN),1524,1451
Argirita (MG),1485,1415
Nova Candelária (RS),1405,1346
Palmeira (SC),1221,1152
Carmésia (MG),1219,1225
Alagoa (MG),1408,1301
Chiador (MG),1355,1430
João Dias (RN),1281,1320
São Luís do Piauí (PI),1262,1299
Timburi (SP),1364,1281
São Domingos do Cariri (PB),1212,1207
Três Forquilhas (RS),1512,1402
Joca Claudino (PB),1267,1347
Planalto da Serra (MT),1400,1325
Florínea (SP),1383,1445
Rio Doce (MG),1229,1236
Alto Paraíso (PR),1618,1587
Boa Vista do Incra (RS),1243,1181
Santa Rosa do Tocantins (TO),2411,2157
Lutécia (SP),1353,1359
Uniflor (PR),1232,1234
Simão Pereira (MG),1248,1289
Três Arroios (RS),1428,1427
Bandeirante (SC),1535,1371
Santa Tereza do Tocantins (TO),1338,1184
Santo Antônio do Caiuá (PR),1346,1381
Santa Terezinha do Tocantins (TO),1267,1206
Taboleiro Grande (RN),1178,1139
Oscar Bressane (SP),1217,1320
Rancho Alegre d'Oeste (PR),1414,1432
Sagrada Família (RS),1339,1256
Jardim de Angicos (RN),1351,1254
Saldanha Marinho (RS),1390,1479
Santa Margarida do Sul (RS),1272,1080
Panamá (GO),1370,1312
Algodão de Jandaíra (PB),1217,1149
Bom Jesus (PB),1219,1181
Umburatiba (MG),1398,1306
Pinhal (RS),1274,1239
Sem-Peixe (MG),1404,1443
Pontes Gestal (SP),1256,1262
Mimoso de Goiás (GO),1427,1258
Rio dos Índios (RS),1860,1756
Lajeado do Bugre (RS),1253,1234
Barra Funda (RS),1177,1190
Nova Pádua (RS),1258,1192
Floresta do Piauí (PI),1272,1210
Coronel Martins (SC),1262,1195
Pedra Dourada (MG),1135,1054
São João das Duas Pontes (SP),1290,1276
Porto Rico (PR),1284,1246
Aroeiras do Itaim (PI),1273,1167
Pedro Laurentino (PI),1251,1156
Wenceslau Braz (MG),1288,1265
Mato Castelhano (RS),1291,1178
São João do Polêsine (RS),1272,1363
Abdon Batista (SC),1382,1270
São Bento do Tocantins (TO),2403,2205
Brasilândia do Sul (PR),1603,1606
Coronel Barros (RS),1219,1239
Dom Pedro de Alcântara (RS),1341,1209
Adelândia (GO),1273,1204
Monte Belo do Sul (RS),1345,1324
Curral Velho (PB),1304,1199
Jesúpolis (GO),1206,1094
Santo André (PB),1337,1301
Santana do Garambéu (MG),1171,1063
São José das Missões (RS),1376,1343
Cássia dos Coqueiros (SP),1347,1287
Rio Rufino (SC),1244,1191
Biquinhas (MG),1320,1310
Formosa do Sul (SC),1327,1274
Olho d'Água do Piauí (PI),1308,1317
Diorama (GO),1262,1217
Santa Rita d'Oeste (SP),1263,1279
Aparecida do Rio Doce (GO),1241,1186
Pedranópolis (SP),1314,1244
Capão Alto (SC),1431,1322
Boa Vista do Cadeado (RS),1257,1184
Colinas (RS),1208,1212
São José do Sul (RS),1052,1030
Buriti de Goiás (GO),1321,1239
Arenópolis (GO),1676,1601
São Miguel da Baixa Grande (PI),1050,1059
Passagem (PB),1107,1126
Urupema (SC),1274,1208
Arapeí (SP),1255,1238
Óleo (SP),1344,1329
Embaúba (SP),1259,1163
Manfrinópolis (PR),1680,1447
Matos Costa (SC),1475,1364
Ribeirãozinho (MT),1126,1073
Boa Esperança do Iguaçu (PR),1402,1362
Torre de Pedra (SP),1188,1066
Timbaúba dos Batistas (RN),1144,1150
Sagres (SP),1191,1204
Pedra Preta (RN),1338,1248
Morro da Garça (MG),1376,1283
São Félix do Tocantins (TO),769,667
Lucianópolis (SP),1118,1131
São Miguel do Tocantins (TO),5289,5190
Avelinópolis (GO),1234,1216
Forquetinha (RS),1265,1214
Vargem (SC),1446,1362
Amparo do São Francisco (SE),1135,1139
Maetinga (BA),3580,3454
Sul Brasil (SC),1437,1329
Palmelo (GO),1149,1182
Itati (RS),1340,1244
Fama (MG),1180,1170
Novo Horizonte (SC),1449,1299
Silveira Martins (RS),1227,1220
União do Oeste (SC),1475,1435
Nova América (GO),1158,1100
Araçaí (MG),1083,1160
Mairipotaba (GO),1238,1136
Painel (SC),1232,1121
Águas Frias (SC),1279,1145
Rochedo de Minas (MG),1086,1030
Nova Guataporanga (SP),1102,1075
São Salvador do Tocantins (TO),1486,1424
Porto Mauá (RS),1264,1277
Dezesseis de Novembro (RS),1469,1397
Travesseiro (RS),1171,1143
Brunópolis (SC),1452,1398
Santa Terezinha do Progresso (SC),1493,1403
São Sebastião do Tocantins (TO),2199,2082
Lourdes (SP),1107,1021
Eugênio de Castro (RS),1415,1382
Estrela Dalva (MG),1233,1236
Unistalda (RS),1245,1205
Paulo Bento (RS),1126,1070
Ivolândia (GO),1404,1257
São Valério (TO),2266,2116
São Vendelino (RS),994,950
Santo Expedito do Sul (RS),1239,1222
Cerro Grande (RS),1209,1208
Presidente Nereu (SC),1167,1117
Monções (SP),1101,1031
Rolador (RS),1318,1228
Zabelê (PB),1051,1024
Silveirânia (MG),1148,1044
Coqueiros do Sul (RS),1254,1202
São Pedro do Paraná (PR),1261,1230
Ipueira (RN),1038,1039
Amparo (PB),1047,1041
Marzagão (GO),1026,1046
São Sebastião do Rio Verde (MG),1048,1061
Mirim Doce (SC),1273,1240
Faxinalzinho (RS),1283,1284
Córrego do Ouro (GO),1338,1294
Casa Grande (MG),1152,1091
Iguatu (PR),1136,1098
Lacerdópolis (SC),1096,1103
São Valentim do Sul (RS),1112,1056
Guaporema (PR),1135,1083
São Bernardino (SC),1407,1270
Nova Aurora (GO),1074,987
Arvoredo (SC),1229,1031
Ribeirão dos Índios (SP),1088,1098
Silvanópolis (TO),2654,2413
Morro Agudo de Goiás (GO),1173,1183
Iracema do Oeste (PR),1320,1258
Sítio Novo do Tocantins (TO),4631,4517
Inhacorá (RS),1148,1117
Pirapó (RS),1398,1359
Santa Rosa de Goiás (GO),1452,1456
Ouro Verde (SC),1150,1121
Nova Ramada (RS),1246,1191
Novo Tiradentes (RS),1191,1086
Monjolos (MG),1206,1152
Sucupira (TO),894,848
Mirador (PR),1180,1145
Santa Helena (SC),1236,1146
Parisi (SP),1043,988
Taguatinga (TO),7879,7164
Santo Antônio dos Milagres (PI),1023,1036
Bodó (RN),1260,1165
Santa Cruz da Esperança (SP),966,987
São Manoel do Paraná (PR),1054,1044
Santa Rosa de Lima (SC),1092,973
Vargem Bonita (MG),1144,1017
Bom Jesus do Oeste (SC),1077,1054
Pilar de Goiás (GO),1467,1306
Vanini (RS),993,991
Oliveira Fortes (MG),1080,1043
Pimenteiras do Oeste (RO),1218,1097
Santo Antônio do Palma (RS),1112,1027
Santa Clara d'Oeste (SP),1073,1011
Dolcinópolis (SP),1091,1005
Areia de Baraúnas (PB),962,963
Poço das Antas (RS),1023,994
Marinópolis (SP),1063,1050
Bozano (RS),1100,1100
São João do Pau d'Alho (SP),1057,1046
Davinópolis (GO),1082,974
Taipas do Tocantins (TO),1017,928
Boa Vista das Missões (RS),1056,1058
Jupiá (SC),1094,1054
Vila Lângaro (RS),1123,1029
Relvado (RS),1071,1084
Monte das Gameleiras (RN),1154,1107
Ermo (SC),1066,984
Aracitaba (MG),1053,1005
São José do Inhacorá (RS),1125,1075
São Patrício (GO),1000,991
Itapuca (RS),1232,1111
Gramado dos Loureiros (RS),1151,1118
Luciara (MT),1146,1078
Itambé do Mato Dentro (MG),1179,1104
Santo Antônio do Paraíso (PR),1199,1206
Ariranha do Ivaí (PR),1228,1224
São Pedro das Missões (RS),932,954
Passa Vinte (MG),1089,990
Turiúba (SP),997,933
Cruzália (SP),1110,1164
Santo Antônio do Planalto (RS),980,1007
Quixaba (PB),893,806
Talismã (TO),1351,1211
Senador Cortes (MG),985,1003
Riacho de Santo Antônio (PB),871,851
Guarani d'Oeste (SP),963,1006
Dois Irmãos das Missões (RS),1080,1077
Mariano Moro (RS),1133,1077
Água Comprida (MG),1073,952
Tocantínia (TO),3474,3260
Aloândia (GO),1046,1003
Cunhataí (SC),1004,878
Doutor Ricardo (RS),1035,995
Tocantinópolis (TO),11196,11416
Ibiam (SC),981,964
Ubiretama (RS),1183,1113
Serranos (MG),999,996
Coxixola (PB),916,853
Queluzito (MG),957,904
São João de Iracema (SP),898,882
Almirante Tamandaré do Sul (RS),1041,1026
Sete de Setembro (RS),1082,1042
Protásio Alves (RS),1079,921
Pedras Altas (RS),1161,1051
Benjamin Constant do Sul (RS),1194,1112
Frei Rogério (SC),1288,1186
São José do Herval (RS),1136,1068
Douradoquara (MG),970,871
Alto Bela Vista (SC),1005,1000
Guaraíta (GO),1187,1188
Mesópolis (SP),957,929
Muliterno (RS),923,890
Pinhal da Serra (RS),1110,1020
Sério (RS),1190,1091
Irati (SC),1072,1024
União Paulista (SP),829,770
Ipiranga do Sul (RS),972,971
Tapiraí (MG),1001,871
Quatro Irmãos (RS),890,885
Bom Progresso (RS),1167,1161
Seritinga (MG),918,871
Ivorá (RS),1097,1059
Vitória Brasil (SP),891,845
Paulistânia (SP),919,860
Nova Canaã Paulista (SP),1076,1037
São José do Brejo do Cruz (PB),849,834
Aspásia (SP),906,902
Água Limpa (GO),1048,965
Dirce Reis (SP),875,814
Pedro Teixeira (MG),948,837
São Miguel da Boa Vista (SC),979,925
Consolação (MG),888,839
Miraselva (PR),923,939
Vespasiano Corrêa (RS),1024,950
Cruzaltense (RS),1101,1040
Macieira (SC),948,878
Santo Antônio do Rio Abaixo (MG),888,888
Japurá (AM),3835,3491
Arco-Íris (SP),971,954
Trabiju (SP),770,774
Tupirama (TO),843,731
Parari (PB),620,635
Severiano Melo (RN),2864,2887
Fernão (SP),794,769
Viçosa (RN),806,812
Nova Boa Vista (RS),981,979
Linha Nova (RS),808,816
Santa Tereza (RS),889,831
Floriano Peixoto (RS),1081,937
Novo Xingu (RS),861,896
Serra Nova Dourada (MT),743,622
Marema (SC),1135,1068
Olaria (MG),1059,916
Canudos do Vale (RS),958,848
Guarinos (GO),1225,1074
Turmalina (SP),982,996
Nicolau Vergueiro (RS),862,859
Lagoa Santa (GO),643,611
Esperança Nova (PR),981,989
Santa Cecília do Sul (RS),839,816
Capão Bonito do Sul (RS),943,811
Barra Bonita (SC),976,901
Barra do Rio Azul (RS),1049,954
Passabém (MG),865,901
Gentil (RS),888,788
Mato Queimado (RS),901,896
Tupiratins (TO),1087,1010
Tigrinhos (SC),901,855
Lagoa dos Três Cantos (RS),776,822
Coronel Pilar (RS),894,831
Alto Alegre (RS),944,904
Pouso Novo (RS),953,922
Antônio Prado de Minas (MG),861,810
Flor do Sertão (SC),827,761
Santa Inês (PR),927,891
Nova Aliança do Ivaí (PR),718,713
Santa Salete (SP),743,704
Vista Alegre do Prata (RS),819,750
Doresópolis (MG),747,693
Presidente Castello Branco (SC),881,844
Campos Verdes (GO),2570,2449
Ponte Branca (MT),919,849
Jardinópolis (SC),900,866
Paiva (MG),782,776
Ponte Preta (RS),924,826
Coqueiro Baixo (RS),791,737
São Sebastião do Rio Preto (MG),772,841
Guabiju (RS),806,792
Moiporá (GO),899,863
Santana da Ponte Pensa (SP),841,800
Tupanci do Sul (RS),816,757
Paial (SC),939,824
Montauri (RS),794,748
Altamira do Paraná (PR),2202,2104
Senador José Bento (MG),1004,864
Wanderlândia (TO),5647,5334
Lajeado Grande (SC),756,734
Flora Rica (SP),878,872
Grupiara (MG),714,659
André da Rocha (RS),620,596
Cachoeira de Goiás (GO),731,685
Carlos Gomes (RS),834,773
São João da Paraúna (GO),843,846
Jardim Olinda (PR),699,710
Nova Castilho (SP),556,569
Porto Vera Cruz (RS),936,916
Miguel Leão (PI),657,595
Santiago do Sul (SC),754,711
Anhanguera (GO),516,504
Cedro do Abaeté (MG),628,582
Uru (SP),641,610
Xambioá (TO),5905,5577
União da Serra (RS),797,690
Engenho Velho (RS),742,785
Araguainha (MT),585,511
Borá (SP),422,383
Serra da Saudade (MG),430,385
